time,signal,baseline_orig,baseline_fixed,corr_orig,corr_fixed
7.683333333333334,-1.2778723,-2.8673085313445816,-2.8673085313445816,1.5894362313445816,1.5894362313445816
7.7,-1.2638298,-2.8516198210636747,-2.8516198210636747,1.5877900210636748,1.5877900210636748
7.716666666666667,-1.2544681,-2.833364247546734,-2.833364247546734,1.5788961475467342,1.5788961475467342
7.733333333333333,-1.2451063,-2.812312936528699,-2.812312936528699,1.567206636528699,1.567206636528699
7.75,-1.2357447,-2.788255216249499,-2.788255216249499,1.5525105162494992,1.5525105162494992
7.766666666666667,-1.226383,-2.76100724554392,-2.76100724554392,1.53462424554392,1.53462424554392
7.783333333333333,-1.2217021,-2.7304204158622913,-2.7304204158622913,1.5087183158622914,1.5087183158622914
7.8,-1.2123404,-2.6963896017506026,-2.6963896017506026,1.4840492017506026,1.4840492017506026
7.816666666666666,-1.2076596,-2.658860905709346,-2.658860905709346,1.451201305709346,1.451201305709346
7.833333333333333,-1.2029787,-2.6178379379913275,-2.6178379379913275,1.4148592379913274,1.4148592379913274
7.85,-1.1982979,-2.5733869934732354,-2.5733869934732354,1.3750890934732354,1.3750890934732354
7.866666666666666,-1.1982979,-2.525640031887387,-2.525640031887387,1.327342131887387,1.327342131887387
7.883333333333334,-1.193617,-2.4747957043761954,-2.4747957043761954,1.2811787043761955,1.2811787043761955
7.9,-1.193617,-2.4211179595834516,-2.4211179595834516,1.2275009595834516,1.2275009595834516
7.916666666666667,-1.1889361,-2.3649324872984194,-2.3649324872984194,1.1759963872984194,1.1759963872984194
7.933333333333334,-1.1889361,-2.3066205389247636,-2.3066205389247636,1.1176844389247635,1.1176844389247635
7.95,-1.1889361,-2.2466107875413246,-2.2466107875413246,1.0576746875413245,1.0576746875413245
7.966666666666667,-1.1842554,-2.1853693064318915,-2.1853693064318915,1.0011139064318915,1.0011139064318915
7.983333333333333,-1.1842554,-2.1233881123778278,-2.1233881123778278,0.9391327123778277,0.9391327123778277
8.0,-1.1795745,-2.0611726946575137,-2.0611726946575137,0.8815981946575138,0.8815981946575138
8.016666666666667,-1.1795745,-1.9992293461966741,-1.9992293461966741,0.8196548461966742,0.8196548461966742
