arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
E0842.csv,4,2,6,17.966667,,,0.203925,
E0842.csv,4,2,7,21.983333,,,0.303383,
E0843.csv,4,3,1,8.533333,,,0.369067,
E0843.csv,4,3,2,9.350000,Celobiose,,0.485673,0.115229
E0843.csv,4,3,3,10.216667,,,31.697209,
E0843.csv,4,3,4,11.466667,Glicose,,9.397134,2.318319
E0843.csv,4,3,5,12.266667,Xilose,,4.964013,1.580830
E0843.csv,4,3,6,17.966667,,,0.225074,
E0843.csv,4,3,7,21.983333,,,0.328889,
E0851.csv,5,1,1,8.533333,,,0.392346,
E0851.csv,5,1,2,9.350000,Celobiose,,0.542733,0.127702
E0851.csv,5,1,3,10.216667,,,32.012497,
E0851.csv,5,1,4,11.466667,Glicose,,10.620388,2.616526
E0851.csv,5,1,5,12.266667,Xilose,,5.315696,1.692018
E0851.csv,5,1,6,17.983333,,,0.257348,
E0851.csv,5,1,7,21.983333,,,0.329581,
E0852.csv,5,2,1,8.533333,,,0.414816,
E0852.csv,5,2,2,9.350000,Celobiose,,0.566562,0.132911
E0852.csv,5,2,3,10.216667,,,33.058373,
E0852.csv,5,2,4,11.466667,Glicose,,10.920199,2.689614
E0852.csv,5,2,5,12.266667,Xilose,,5.479897,1.743932
E0852.csv,5,2,6,17.966667,,,0.268296,
E0852.csv,5,2,7,21.983333,,,0.320040,
E0853.csv,5,3,1,8.550000,,,0.427300,
E0853.csv,5,3,2,9.333333,Celobiose,,0.561238,0.131747
E0853.csv,5,3,3,10.216667,,,33.497045,
E0853.csv,5,3,4,11.466667,Glicose,,11.054599,2.722379
E0853.csv,5,3,5,12.266667,Xilose,,5.559678,1.769156
E0853.csv,5,3,6,18.000000,,,0.281035,
E0853.csv,5,3,7,22.000000,,,0.308939,
E0861.csv,6,1,1,8.516667,,,0.418516,
E0861.csv,6,1,2,9.350000,Celobiose,,0.569451,0.133542
E0861.csv,6,1,3,10.216667,,,32.571768,
E0861.csv,6,1,4,11.466667,Glicose,,11.594388,2.853970
E0861.csv,6,1,5,12.266667,Xilose,,5.613092,1.786043
E0861.csv,6,1,6,17.983333,,,0.280595,
E0861.csv,6,1,7,22.000000,,,0.307477,
E0862.csv,6,2,1,8.533333,,,0.431360,
E0862.csv,6,2,2,9.350000,Celobiose,,0.595727,0.139286
E0862.csv,6,2,3,10.216667,,,33.933129,
E0862.csv,6,2,4,11.483333,Glicose,,12.109649,2.979581
E0862.csv,6,2,5,12.266667,Xilose,,5.865029,1.865696
E0862.csv,6,2,6,17.983333,,,0.291202,
E0862.csv,6,2,7,21.983333,,,0.221884,
E0863.csv,6,3,1,8.550000,,,0.424844,
E0863.csv,6,3,2,9.350000,Celobiose,,0.584776,0.136892
E0863.csv,6,3,3,10.216667,,,34.422578,
E0863.csv,6,3,4,11.483333,Glicose,,12.233716,3.009826
E0863.csv,6,3,5,12.266667,Xilose,,5.922546,1.883881
E0863.csv,6,3,6,17.983333,,,0.289006,
E0863.csv,6,3,7,22.000000,,,0.300082,
E0871.csv,7,1,1,8.533333,,,0.461162,
E0871.csv,7,1,2,9.350000,Celobiose,,0.643595,0.149750
E0871.csv,7,1,3,10.216667,,,36.108822,
E0871.csv,7,1,4,11.483333,Glicose,,13.633467,3.351060
E0871.csv,7,1,5,12.266667,Xilose,,6.396534,2.033737
E0871.csv,7,1,6,17.983333,,,0.315664,
E0871.csv,7,1,7,22.000000,,,0.311856,
E0872.csv,7,2,1,8.533333,,,0.455105,
E0872.csv,7,2,2,9.350000,Celobiose,,0.626817,0.146082
E0872.csv,7,2,3,10.216667,,,36.061552,
E0872.csv,7,2,4,11.483333,Glicose,,13.598146,3.342450
E0872.csv,7,2,5,12.266667,Xilose,,6.375579,2.027112
E0872.csv,7,2,6,17.983333,,,0.301650,
E0872.csv,7,2,7,22.000000,,,0.283309,
E0873.csv,7,3,1,8.533333,,,0.438047,
E0873.csv,7,3,2,9.350000,Celobiose,,0.610326,0.142478
E0873.csv,7,3,3,10.216667,,,34.730511,
E0873.csv,7,3,4,11.483333,Glicose,,13.100046,3.221022
E0873.csv,7,3,5,12.266667,Xilose,,6.150493,1.955949
E0873.csv,7,3,6,17.983333,,,0.303808,
E0873.csv,7,3,7,22.000000,,,0.284698,
E0881.csv,8,1,1,8.516667,,,0.469200,
E0881.csv,8,1,2,9.350000,Celobiose,,0.666196,0.154691
E0881.csv,8,1,3,10.216667,,,35.862142,
E0881.csv,8,1,4,11.483333,Glicose,,14.186110,3.485785
E0881.csv,8,1,5,12.266667,Xilose,,6.487480,2.062491
E0881.csv,8,1,6,17.983333,,,0.317570,
E0881.csv,8,1,7,22.000000,,,0.139856,
E0882.csv,8,2,1,7.116667,,,0.100818,
E0882.csv,8,2,2,8.533333,,,0.492929,
E0882.csv,8,2,3,9.350000,Celobiose,,0.694260,0.160825
E0882.csv,8,2,4,10.216667,,,37.822709,
E0882.csv,8,2,5,11.483333,Glicose,,14.971405,3.677225
E0882.csv,8,2,6,12.266667,Xilose,,6.859162,2.180002
E0882.csv,8,2,7,17.983333,,,0.344869,
E0882.csv,8,2,8,22.000000,,,0.153092,
E0883.csv,8,3,1,8.533333,,,0.487272,
E0883.csv,8,3,2,9.350000,Celobiose,,0.684757,0.158748
E0883.csv,8,3,3,10.216667,,,37.605668,
E0883.csv,8,3,4,11.483333,Glicose,,14.900270,3.659884
E0883.csv,8,3,5,12.266667,Xilose,,6.813686,2.165625
E0883.csv,8,3,6,17.983333,,,0.327290,
E0883.csv,8,3,7,22.016667,,,0.149562,
E0891.csv,9,1,1,7.116667,,,0.339688,
E0891.csv,9,1,2,8.533333,,,0.497319,
E0891.csv,9,1,3,9.350000,Celobiose,,0.710871,0.164457
E0891.csv,9,1,4,10.216667,,,38.734926,
E0891.csv,9,1,5,11.483333,Glicose,,15.906679,3.905228
E0891.csv,9,1,6,12.266667,Xilose,,7.136231,2.267601
E0891.csv,9,1,7,17.983333,,,0.328279,
E0891.csv,9,1,8,22.016667,,,0.118303,
E0892.csv,9,2,1,7.100000,,,0.109028,
E0892.csv,9,2,2,8.533333,,,0.525329,
E0892.csv,9,2,3,9.350000,Celobiose,,0.732548,0.169195
E0892.csv,9,2,4,10.216667,,,39.583563,
E0892.csv,9,2,5,11.483333,Glicose,,16.246786,3.988140
E0892.csv,9,2,6,12.266667,Xilose,,7.294743,2.317716
E0892.csv,9,2,7,17.983333,,,0.352753,
E0892.csv,9,2,8,22.000000,,,0.133838,
E0893.csv,9,3,1,7.100000,,,0.108061,
E0893.csv,9,3,2,8.533333,,,0.515810,
E0893.csv,9,3,3,9.350000,Celobiose,,0.725160,0.167580
E0893.csv,9,3,4,10.216667,,,39.367396,
E0893.csv,9,3,5,11.483333,Glicose,,16.166780,3.968636
E0893.csv,9,3,6,12.266667,Xilose,,7.249479,2.303405
E0893.csv,9,3,7,17.983333,,,0.368381,
E0893.csv,9,3,8,22.016667,,,0.136986,
